0.000000	6.928146	no_cheer
6.928146	10.686854	cheer
10.686854	13.429708	no_cheer
13.429708	21.902104	no_cheer
21.902104	31.634125	cheer
31.634125	35.067750	no_cheer
35.067750	37.810583	cheer
37.810583	40.553438	no_cheer
40.553438	42.991521	cheer
42.991521	48.091167	no_cheer
48.091167	56.522875	cheer
56.522875	66.986312	no_cheer
66.986312	71.842146	cheer
71.842146	83.809083	no_cheer
83.809083	87.405250	cheer
87.405250	90.920146	no_cheer
90.920146	94.414729	cheer
94.414729	99.656604	no_cheer
99.656604	103.760708	cheer
103.760708	106.727042	no_cheer
106.727042	111.684313	cheer
111.684313	120.037729	no_cheer
